,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
47448,6.933423025730715,6.933423025730715,8.977146484808472,11.327872180403157,-6.933423026830715,8.032035314398824,4.736198448394496,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47532,5.703782474656201,5.703782474656201,8.1886891244442,10.09823162932864,-5.703782474156201,6.802394763324311,2.995732273553991,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47566,7.676009932028887,7.676009932028888,9.691778378847582,12.070459086701328,-7.676009932928888,8.774622220696997,5.278114659230517,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47588,14.71178142294744,14.711781422947436,17.244478736571786,22.402067443624205,-14.71178142354744,15.810393711615548,11.878568078891222,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47632,14.029193498492866,14.029193498492866,17.0410839042802,21.719479519169635,-14.029193499392866,15.127805787160977,12.083283349437552,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47678,8.18423477409482,8.18423477409482,8.722091302389096,11.480071640099151,-8.18423477449482,9.28284706276293,5.41164605185504,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47686,5.170483995038152,5.170483995038152,6.646390514847729,8.466320861042481,-5.170483995138152,6.269096283706262,2.772588722239781,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47703,21.136470517148748,21.13647051714875,23.639493323921364,31.02398111516174,-21.13647051424875,22.23508280581686,18.363881794908966,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47799,6.52795791762255,6.527957917622551,7.590852123688581,9.82379478362688,-6.52795791902255,7.62657020629066,5.42934562895444,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
47921,10.046938334941087,10.04693833494109,10.95122751083048,14.441387489613527,-10.046938335541087,11.145550623609198,7.84971375760487,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48051,5.9814142112544815,5.981414211254481,7.069874128458572,9.27725107725881,-5.981414211454481,7.080026499922592,3.7841896339182615,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48081,7.33302301438648,7.333023014386482,8.083328608786376,10.62885988039081,-7.33302301388648,8.43163530305459,5.541263545158426,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48118,12.58004708654697,12.580047086546967,13.70158009162338,18.07310852988752,-12.580047087746967,13.678659375215078,10.277461993552922,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48160,6.887552571664617,6.887552571664617,7.700747794511799,10.183389437668946,-6.887552571764617,7.986164860332727,4.941642422609304,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
48283,5.318119993844217,5.318119993844217,6.80239476332431,8.613956859848546,-5.318119993844217,6.416732282512327,3.5263605246161616,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
