,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,8,8,8,8,8,9,7
1,5,5,5,5,5,6,4
2,14,14,14,14,14,15,13
3,13,13,13,13,13,14,12
4,4,4,4,4,4,5,3
5,14,14,14,14,14,15,13
6,6,6,6,6,6,7,5
7,6,6,6,6,6,7,5
8,14,14,14,14,14,15,13
9,10,10,10,10,10,11,9
10,10,10,10,10,10,11,9
11,12,12,12,12,12,13,11
12,3,3,3,3,3,4,2
13,11,11,11,11,11,12,10
14,13,13,13,13,13,14,12
15,10,10,10,10,10,11,9
16,5,5,5,5,5,6,4
17,14,14,14,14,14,15,13
18,6,6,6,6,6,7,5
19,14,14,14,14,14,15,13
20,4,4,4,4,4,5,3
21,11,11,11,11,11,12,10
22,5,5,5,5,5,6,4
23,9,9,9,9,9,10,8
24,7,7,7,7,7,8,6
25,7,7,7,7,7,8,6
26,13,13,13,13,13,14,12
27,14,14,14,14,14,15,13
28,8,8,8,8,8,9,7
29,9,9,9,9,9,10,8
30,14,14,14,14,14,15,13
31,14,14,14,14,14,15,13
32,7,7,7,7,7,8,6
33,11,11,11,11,11,12,10
34,4,4,4,4,4,5,3
35,13,13,13,13,13,14,12
36,7,7,7,7,7,8,6
37,11,11,11,11,11,12,10
38,8,8,8,8,8,9,7
39,9,9,9,9,9,10,8
40,9,9,9,9,9,10,8
41,5,5,5,5,5,6,4
42,12,12,12,12,12,13,11
43,10,10,10,10,10,11,9
44,5,5,5,5,5,6,4
45,11,11,11,11,11,12,10
46,5,5,5,5,5,6,4
47,12,12,12,12,12,13,11
48,9,9,9,9,9,10,8
49,11,11,11,11,11,12,10
50,13,13,13,13,13,14,12
51,12,12,12,12,12,13,11
52,14,14,14,14,14,15,13
53,5,5,5,5,5,6,4
54,14,14,14,14,14,15,13
55,6,6,6,6,6,7,5
56,13,13,13,13,13,14,12
57,8,8,8,8,8,9,7
58,10,10,10,10,10,11,9
59,12,12,12,12,12,13,11
60,8,8,8,8,8,9,7
61,4,4,4,4,4,5,3
62,7,7,7,7,7,8,6
63,3,3,3,3,3,4,2
64,14,14,14,14,14,15,13
65,13,13,13,13,13,14,12
66,14,14,14,14,14,15,13
67,12,12,12,12,12,13,11
68,8,8,8,8,8,9,7
69,13,13,13,13,13,14,12
70,6,6,6,6,6,7,5
71,14,14,14,14,14,15,13
72,7,7,7,7,7,8,6
73,10,10,10,10,10,11,9
74,4,4,4,4,4,5,3
75,4,4,4,4,4,5,3
76,5,5,5,5,5,6,4
77,6,6,6,6,6,7,5
78,13,13,13,13,13,14,12
79,11,11,11,11,11,12,10
80,5,5,5,5,5,6,4
81,5,5,5,5,5,6,4
82,6,6,6,6,6,7,5
83,13,13,13,13,13,14,12
84,4,4,4,4,4,5,3
85,10,10,10,10,10,11,9
86,10,10,10,10,10,11,9
87,8,8,8,8,8,9,7
88,9,9,9,9,9,10,8
89,5,5,5,5,5,6,4
90,9,9,9,9,9,10,8
91,6,6,6,6,6,7,5
92,3,3,3,3,3,4,2
93,5,5,5,5,5,6,4
94,12,12,12,12,12,13,11
95,12,12,12,12,12,13,11
96,10,10,10,10,10,11,9
97,11,11,11,11,11,12,10
98,14,14,14,14,14,15,13
99,10,10,10,10,10,11,9
100,6,6,6,6,6,7,5
101,6,6,6,6,6,7,5
102,9,9,9,9,9,10,8
103,3,3,3,3,3,4,2
104,4,4,4,4,4,5,3
105,14,14,14,14,14,15,13
106,9,9,9,9,9,10,8
107,8,8,8,8,8,9,7
108,8,8,8,8,8,9,7
109,3,3,3,3,3,4,2
110,6,6,6,6,6,7,5
111,11,11,11,11,11,12,10
112,13,13,13,13,13,14,12
113,9,9,9,9,9,10,8
114,7,7,7,7,7,8,6
115,11,11,11,11,11,12,10
116,13,13,13,13,13,14,12
117,6,6,6,6,6,7,5
118,6,6,6,6,6,7,5
119,3,3,3,3,3,4,2
120,14,14,14,14,14,15,13
121,13,13,13,13,13,14,12
122,7,7,7,7,7,8,6
123,12,12,12,12,12,13,11
124,3,3,3,3,3,4,2
125,3,3,3,3,3,4,2
126,12,12,12,12,12,13,11
127,5,5,5,5,5,6,4
128,4,4,4,4,4,5,3
129,3,3,3,3,3,4,2
130,5,5,5,5,5,6,4
131,13,13,13,13,13,14,12
132,4,4,4,4,4,5,3
133,13,13,13,13,13,14,12
134,4,4,4,4,4,5,3
135,8,8,8,8,8,9,7
136,14,14,14,14,14,15,13
137,13,13,13,13,13,14,12
138,12,12,12,12,12,13,11
139,11,11,11,11,11,12,10
140,5,5,5,5,5,6,4
141,14,14,14,14,14,15,13
142,7,7,7,7,7,8,6
143,12,12,12,12,12,13,11
144,6,6,6,6,6,7,5
145,10,10,10,10,10,11,9
146,12,12,12,12,12,13,11
147,4,4,4,4,4,5,3
148,14,14,14,14,14,15,13
149,7,7,7,7,7,8,6
150,9,9,9,9,9,10,8
151,14,14,14,14,14,15,13
152,7,7,7,7,7,8,6
153,13,13,13,13,13,14,12
154,12,12,12,12,12,13,11
155,5,5,5,5,5,6,4
156,14,14,14,14,14,15,13
157,10,10,10,10,10,11,9
158,12,12,12,12,12,13,11
159,14,14,14,14,14,15,13
160,7,7,7,7,7,8,6
161,11,11,11,11,11,12,10
162,7,7,7,7,7,8,6
163,7,7,7,7,7,8,6
164,11,11,11,11,11,12,10
165,4,4,4,4,4,5,3
166,9,9,9,9,9,10,8
167,8,8,8,8,8,9,7
168,7,7,7,7,7,8,6
169,11,11,11,11,11,12,10
170,12,12,12,12,12,13,11
171,10,10,10,10,10,11,9
172,9,9,9,9,9,10,8
173,11,11,11,11,11,12,10
174,14,14,14,14,14,15,13
175,4,4,4,4,4,5,3
176,11,11,11,11,11,12,10
177,8,8,8,8,8,9,7
178,3,3,3,3,3,4,2
179,6,6,6,6,6,7,5
180,4,4,4,4,4,5,3
181,10,10,10,10,10,11,9
182,13,13,13,13,13,14,12
183,14,14,14,14,14,15,13
184,6,6,6,6,6,7,5
185,13,13,13,13,13,14,12
186,10,10,10,10,10,11,9
187,7,7,7,7,7,8,6
188,7,7,7,7,7,8,6
189,11,11,11,11,11,12,10
190,9,9,9,9,9,10,8
191,9,9,9,9,9,10,8
192,6,6,6,6,6,7,5
193,4,4,4,4,4,5,3
194,11,11,11,11,11,12,10
195,7,7,7,7,7,8,6
196,10,10,10,10,10,11,9
197,13,13,13,13,13,14,12
198,8,8,8,8,8,9,7
199,13,13,13,13,13,14,12
200,7,7,7,7,7,8,6
201,13,13,13,13,13,14,12
202,14,14,14,14,14,15,13
203,5,5,5,5,5,6,4
204,5,5,5,5,5,6,4
205,7,7,7,7,7,8,6
206,11,11,11,11,11,12,10
207,14,14,14,14,14,15,13
208,6,6,6,6,6,7,5
209,7,7,7,7,7,8,6
210,8,8,8,8,8,9,7
211,14,14,14,14,14,15,13
212,8,8,8,8,8,9,7
213,7,7,7,7,7,8,6
214,5,5,5,5,5,6,4
215,12,12,12,12,12,13,11
216,3,3,3,3,3,4,2
217,9,9,9,9,9,10,8
218,12,12,12,12,12,13,11
219,3,3,3,3,3,4,2
220,9,9,9,9,9,10,8
221,11,11,11,11,11,12,10
222,11,11,11,11,11,12,10
223,13,13,13,13,13,14,12
224,9,9,9,9,9,10,8
225,8,8,8,8,8,9,7
226,11,11,11,11,11,12,10
227,13,13,13,13,13,14,12
228,8,8,8,8,8,9,7
229,11,11,11,11,11,12,10
230,5,5,5,5,5,6,4
231,3,3,3,3,3,4,2
232,12,12,12,12,12,13,11
233,13,13,13,13,13,14,12
234,6,6,6,6,6,7,5
235,5,5,5,5,5,6,4
236,6,6,6,6,6,7,5
237,3,3,3,3,3,4,2
238,3,3,3,3,3,4,2
239,14,14,14,14,14,15,13
240,10,10,10,10,10,11,9
241,5,5,5,5,5,6,4
242,12,12,12,12,12,13,11
243,5,5,5,5,5,6,4
244,7,7,7,7,7,8,6
245,8,8,8,8,8,9,7
246,12,12,12,12,12,13,11
247,13,13,13,13,13,14,12
248,6,6,6,6,6,7,5
249,8,8,8,8,8,9,7
250,4,4,4,4,4,5,3
251,10,10,10,10,10,11,9
252,6,6,6,6,6,7,5
253,3,3,3,3,3,4,2
254,13,13,13,13,13,14,12
255,10,10,10,10,10,11,9
256,14,14,14,14,14,15,13
257,4,4,4,4,4,5,3
258,13,13,13,13,13,14,12
259,6,6,6,6,6,7,5
260,3,3,3,3,3,4,2
261,8,8,8,8,8,9,7
262,3,3,3,3,3,4,2
263,6,6,6,6,6,7,5
264,4,4,4,4,4,5,3
265,11,11,11,11,11,12,10
266,5,5,5,5,5,6,4
267,4,4,4,4,4,5,3
268,14,14,14,14,14,15,13
269,7,7,7,7,7,8,6
270,13,13,13,13,13,14,12
271,3,3,3,3,3,4,2
272,7,7,7,7,7,8,6
273,7,7,7,7,7,8,6
274,8,8,8,8,8,9,7
275,5,5,5,5,5,6,4
276,7,7,7,7,7,8,6
277,14,14,14,14,14,15,13
278,4,4,4,4,4,5,3
279,11,11,11,11,11,12,10
280,10,10,10,10,10,11,9
281,14,14,14,14,14,15,13
282,6,6,6,6,6,7,5
283,13,13,13,13,13,14,12
284,14,14,14,14,14,15,13
