,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,49,49,53,196,0.2,49,49
1,46,46,50,184,0.0454545455,46,46
2,45,45,49,180,0.3333333333,45,24
3,48,48,52,192,0.25,48,48
4,47,47,51,188,0.0555555556,47,38
5,48,48,52,192,1.0,48,48
6,44,44,48,176,0.125,44,44
7,44,44,48,176,0.125,44,44
8,49,49,53,196,0.3333333333,49,49
9,38,38,42,152,0.1111111111,38,38
10,46,46,50,184,1.0,46,46
11,45,45,49,180,1.0,45,45
12,46,46,50,184,0.0454545455,46,46
13,38,38,42,152,0.0909090909,38,38
14,48,48,52,192,0.3333333333,48,48
15,47,47,51,188,0.05,47,47
16,38,38,42,152,1.0,38,38
17,47,47,51,188,0.3333333333,47,47
18,42,42,46,168,0.1666666667,42,42
19,47,47,51,188,0.5,47,47
20,27,27,31,108,0.0625,27,22
21,35,35,39,140,0.3333333333,35,35
22,47,47,51,188,1.0,47,47
23,46,46,50,184,0.5,46,46
24,46,46,50,184,0.2,46,46
25,46,46,50,184,0.25,46,46
26,38,38,42,152,1.0,38,38
27,48,48,52,192,0.2,48,48
28,46,46,50,184,0.2,46,46
29,43,43,47,172,0.3333333333,43,43
30,47,47,51,188,0.25,47,47
31,45,45,49,180,1.0,45,45
32,47,47,51,188,0.0555555556,47,47
33,42,42,46,168,0.0833333333,42,42
34,39,39,43,156,0.3333333333,39,39
35,47,47,51,188,0.5,47,47
36,38,38,42,152,0.25,38,38
37,46,46,50,184,0.0666666667,46,46
38,47,47,51,188,1.0,47,47
39,48,48,52,192,0.1,48,48
40,48,48,52,192,0.1666666667,48,48
41,49,49,53,196,0.1666666667,49,49
42,46,46,50,184,0.25,46,46
43,48,48,52,192,0.1111111111,48,48
44,48,48,52,192,0.0833333333,48,48
45,47,47,51,188,0.2,47,47
46,42,42,46,168,0.0588235294,42,42
47,48,48,52,192,0.3333333333,48,48
48,49,49,53,196,0.1111111111,49,49
49,47,47,51,188,0.2,47,47
50,42,42,46,168,0.0909090909,42,42
51,43,43,47,172,0.25,43,43
52,45,45,49,180,1.0,45,42
53,44,44,48,176,0.0263157895,44,44
54,38,38,42,152,0.5,38,38
55,40,40,44,160,0.25,40,40
56,48,48,52,192,0.5,48,48
57,43,43,47,172,0.25,43,40
58,48,48,52,192,1.0,48,48
59,36,36,40,144,0.25,36,36
60,49,49,53,196,1.0,49,49
61,38,38,42,152,0.0526315789,38,38
62,34,34,38,136,0.25,34,34
63,44,44,48,176,0.0256410256,44,44
64,46,46,50,184,0.1428571429,46,46
65,49,49,53,196,0.25,49,49
66,49,49,53,196,0.2,49,49
67,46,46,50,184,0.3333333333,46,46
68,49,49,53,196,0.1666666667,49,49
69,45,45,49,180,0.1,45,45
70,42,42,46,168,0.3333333333,42,42
71,46,46,50,184,0.1428571429,46,46
72,47,47,51,188,0.0769230769,47,47
73,43,43,47,172,0.2,43,43
74,45,45,49,180,0.1111111111,45,45
75,48,48,52,192,0.0526315789,48,48
76,36,36,40,144,0.0666666667,36,36
77,32,32,36,128,0.0909090909,32,32
78,43,43,47,172,1.0,43,43
79,49,49,53,196,0.5,49,49
80,45,45,49,180,0.0714285714,45,45
81,48,48,52,192,0.3333333333,48,48
82,48,48,52,192,0.1111111111,48,48
83,49,49,53,196,0.25,49,49
84,43,43,47,172,0.0526315789,43,43
85,44,44,48,176,0.3333333333,44,44
86,45,45,49,180,0.2,45,45
87,36,36,40,144,0.1111111111,36,36
88,42,42,46,168,0.1666666667,42,42
89,38,38,42,152,0.3333333333,38,38
90,36,36,40,144,0.1,36,36
91,38,38,42,152,0.3333333333,38,38
92,31,31,35,124,0.1428571429,31,31
93,35,35,39,140,1.0,35,35
94,49,49,53,196,0.25,49,49
95,44,44,48,176,0.5,44,44
96,45,45,49,180,0.2,45,45
97,44,44,48,176,0.1428571429,44,41
98,44,44,48,176,0.1428571429,44,44
99,40,40,44,160,0.3333333333,40,40
100,43,43,47,172,0.2,43,43
101,48,48,52,192,0.0666666667,48,32
