,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
23342,19,19,23,76,0.0222222222,4,19
23343,21,21,25,84,0.0204081633,4,21
23344,3,3,7,12,0.0384615385,3,6
23345,6,6,10,24,0.0208333333,4,6
23346,1,1,5,4,0.0208333333,1,1
23347,2,2,6,8,0.0212765957,2,2
23348,13,13,17,52,0.0454545455,4,13
23349,1,1,5,4,0.0212765957,1,1
23350,7,7,11,28,0.0357142857,4,7
23351,8,8,12,32,0.0212765957,4,8
23352,3,3,7,12,0.023255814,3,3
23353,10,10,14,40,0.0227272727,4,10
23354,3,3,7,12,0.023255814,3,12
23355,4,4,8,16,0.0212765957,4,4
23356,6,6,10,24,0.0238095238,4,6
23357,2,2,6,8,0.0212765957,2,2
23358,4,4,8,16,0.0227272727,4,9
23359,4,4,8,16,0.0208333333,4,5
23360,3,3,7,12,0.0277777778,3,3
23361,30,30,34,120,0.0243902439,4,30
23362,1,1,5,4,0.0227272727,1,1
23363,2,2,6,8,0.0227272727,2,2
23364,9,9,13,36,0.0212765957,4,9
23365,2,2,6,8,0.0204081633,2,15
23366,3,3,7,12,0.0384615385,3,3
23367,3,3,7,12,0.0227272727,3,8
23368,1,1,5,4,0.0204081633,1,1
23369,5,5,9,20,0.023255814,4,5
23370,3,3,7,12,0.025,3,3
23371,2,2,6,8,0.0222222222,2,2
23372,5,5,9,20,0.0208333333,4,5
23373,2,2,6,8,0.023255814,2,9
23374,5,5,9,20,0.0204081633,4,5
23375,6,6,10,24,0.0217391304,4,6
23376,29,29,33,116,0.0212765957,4,29
23377,12,12,16,48,0.0212765957,4,12
23378,7,7,11,28,0.037037037,4,7
23379,9,9,13,36,0.0217391304,4,9
23380,1,1,5,4,0.023255814,1,1
23381,5,5,9,20,0.0212765957,4,5
23382,1,1,5,4,0.04,1,1
23383,4,4,8,16,0.0277777778,4,4
23384,4,4,8,16,0.0217391304,4,4
23385,1,1,5,4,0.025,1,1
23386,4,4,8,16,0.0204081633,4,4
23387,1,1,5,4,0.0222222222,1,1
23388,26,26,30,104,0.0217391304,4,36
23389,2,2,6,8,0.0217391304,2,2
23390,5,5,9,20,0.027027027,4,5
23391,1,1,5,4,0.0217391304,1,1
23392,6,6,10,24,0.0217391304,4,6
23393,4,4,8,16,0.0212765957,4,4
23394,15,15,19,60,0.0303030303,4,15
23395,1,1,5,4,0.0217391304,1,1
23396,13,13,17,52,0.023255814,4,13
23397,11,11,15,44,0.0208333333,4,38
23398,3,3,7,12,0.023255814,3,3
23399,1,1,5,4,0.0238095238,1,1
23400,5,5,9,20,0.0294117647,4,5
23401,2,2,6,8,0.0222222222,2,7
23402,17,17,21,68,0.0238095238,4,17
23403,22,22,26,88,0.0333333333,4,22
23404,9,9,13,36,0.0208333333,4,13
23405,2,2,6,8,0.0204081633,2,2
23406,4,4,8,16,0.05,4,4
23407,3,3,7,12,0.0333333333,3,3
23408,4,4,8,16,0.0204081633,4,4
23409,6,6,10,24,0.0256410256,4,6
23410,8,8,12,32,0.0217391304,4,12
23411,8,8,12,32,0.0204081633,4,8
23412,7,7,11,28,0.0208333333,4,7
23413,3,3,7,12,0.0344827586,3,21
23414,3,3,7,12,0.0222222222,3,3
23415,8,8,12,32,0.0285714286,4,13
23416,8,8,12,32,0.0526315789,4,8
23417,18,18,22,72,0.0204081633,4,18
23418,9,9,13,36,0.0227272727,4,9
23419,12,12,16,48,0.0222222222,4,12
23420,2,2,6,8,0.0243902439,2,9
23421,5,5,9,20,0.0208333333,4,5
23422,2,2,6,8,0.0212765957,2,2
23423,12,12,16,48,0.0208333333,4,12
23424,2,2,6,8,0.023255814,2,2
23425,5,5,9,20,0.0333333333,4,17
23426,1,1,5,4,0.0208333333,1,1
23427,10,10,14,40,0.03125,4,12
23428,8,8,12,32,0.023255814,4,8
23429,5,5,9,20,0.0222222222,4,5
23430,2,2,6,8,0.0212765957,2,2
23431,4,4,8,16,0.0204081633,4,4
23432,2,2,6,8,0.0204081633,2,2
23433,4,4,8,16,0.0217391304,4,4
23434,2,2,6,8,0.0238095238,2,2
23435,18,18,22,72,0.0204081633,4,18
23436,8,8,12,32,0.0277777778,4,8
23437,7,7,11,28,0.023255814,4,8
23438,8,8,12,32,0.0217391304,4,8
23439,5,5,9,20,0.0204081633,4,5
23440,2,2,6,8,0.0208333333,2,2
23441,2,2,6,8,0.0227272727,2,2
23442,12,12,16,48,0.0212765957,4,12
23443,2,2,6,8,0.0217391304,2,2
23444,3,3,7,12,0.025,3,3
23445,13,13,17,52,0.025,4,22
