,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
13576,23,24,29,69,0.4583333333,23,16
13577,32,36,38,96,0.38888888889999995,32,32
13578,13,13,19,39,0.3611111111,13,13
13579,4,3,10,12,-0.014423076899999998,4,4
13580,22,26,28,66,0.1833333333,22,12
13581,9,14,15,27,d/0,12,-15
13582,18,18,24,54,-0.009868421099999997,18,18
13583,30,30,36,90,0.1357466063,30,30
13584,-13,0,-7,-39,0.4333333333,5,-15
13585,34,33,40,102,d/0,34,34
13586,17,28,23,51,1.2,17,17
13587,6,6,12,18,0.15000000000000002,6,6
13588,26,27,32,78,0.19090909090000002,26,26
13589,16,16,22,48,0.4102564102,16,16
13590,32,28,38,96,0.1458333333,32,32
13591,13,19,19,39,1.1666666667,13,13
13592,4,20,10,12,d/0,4,4
13593,25,23,31,75,0.5,25,25
13594,11,11,17,33,0.06617647060000001,11,11
13595,29,34,35,87,0.2333333334,29,29
13596,34,36,40,102,0.3088235294,34,34
13597,25,13,31,75,0.6666666666,25,25
13598,30,26,36,90,0.188034188,30,22
13599,18,30,24,54,0.44444444439999997,20,18
13600,25,25,31,75,0.325,25,25
13601,29,34,35,87,0.2769230769,29,29
13602,9,12,15,27,-0.003676470600000002,20,9
13603,27,27,33,81,0.5909090909,27,13
13604,22,22,28,66,0.3428571429,22,22
13605,10,23,16,30,0.45,10,10
13606,33,17,39,99,0.1222222223,33,33
13607,34,18,40,102,1.125,34,34
13608,11,38,17,33,d/0,11,11
13609,11,-7,17,33,0.36666666670000003,11,-6
13610,29,28,35,87,0.1547619047,29,29
13611,15,26,21,45,0.2678571429,15,15
13612,23,19,29,69,0.8333333332999999,23,23
13613,34,34,40,102,0.8333333332999999,34,27
13614,26,30,32,78,0.25,26,26
13615,35,30,41,105,0.2678571429,35,35
13616,5,19,11,15,0.1375,5,5
13617,30,30,36,90,0.25,30,30
13618,24,21,30,72,0.9473684211,24,24
13619,7,7,13,21,d/0,7,7
13620,31,22,37,93,0.41666666669999997,31,31
13621,13,23,19,39,d/0,19,13
13622,34,32,40,102,d/0,34,34
13623,10,8,16,30,d/0,10,8
13624,15,18,21,45,0.06666666669999999,15,15
13625,20,15,26,60,1.3333333333,20,20
13626,16,16,22,48,0.253968254,16,16
13627,4,1,10,12,-0.023809523799999982,4,4
13628,14,14,20,42,0.2857142858,14,-2
13629,8,24,14,24,-0.1666666667,15,8
13630,35,27,41,105,d/0,35,35
13631,10,7,16,30,0.0535714286,10,10
13632,23,25,29,69,0.6666666666,23,23
13633,-3,-3,3,-9,0.2,7,-3
13634,24,24,30,72,d/0,24,24
13635,19,19,25,57,1.0714285714,19,19
13636,29,29,35,87,0.1805555556,29,26
13637,4,6,10,12,0.0166666667,4,4
13638,15,32,21,45,0.5769230769,15,15
13639,8,1,14,24,2.0,8,8
13640,31,27,37,93,1.0588235294,31,31
13641,28,20,34,84,0.3928571429,28,28
13642,19,14,25,57,0.39999999999999997,19,19
13643,9,15,15,27,d/0,9,9
13644,31,36,37,93,0.1483516483,31,31
13645,22,13,28,66,0.188034188,22,-7
13646,23,23,29,69,0.25882352940000003,23,22
13647,19,21,25,57,1.0555555556,19,19
13648,-13,-13,-7,-39,0.2708333333,-12,-13
13649,32,32,38,96,0.4583333333,32,27
13650,25,34,31,75,0.42424242419999997,25,25
13651,11,16,17,33,0.3928571429,15,11
13652,25,25,31,75,d/0,25,25
13653,10,10,16,30,0.0583333333,10,10
13654,8,25,14,24,0.2619047619,12,8
13655,22,22,28,66,0.2,22,20
13656,13,14,19,39,-0.0242424242,13,13
13657,-5,4,1,-15,0.07575757579999999,1,-5
13658,7,8,13,21,0.11666666669999999,15,2
13659,27,32,33,81,0.9473684211,27,27
13660,17,17,23,51,1.125,17,17
13661,-3,28,3,-9,0.2,15,-3
13662,-21,-21,-15,-63,-0.1359649122,-9,-21
13663,15,10,21,45,1.1666666667,15,15
13664,18,17,24,54,0.225,18,18
13665,17,4,23,51,-0.014035087799999998,17,17
13666,13,13,19,39,1.0833333333,15,-10
13667,17,11,23,51,0.9473684211,17,17
13668,16,16,22,48,0.5714285714,16,16
13669,4,6,10,12,0.1166666667,4,4
13670,22,20,28,66,d/0,22,22
13671,7,1,13,21,0.9166666667,12,1
13672,31,31,37,93,0.15000000000000002,31,31
13673,24,28,30,72,0.1875,24,24
13674,-1,13,5,-3,0.1973684211,9,-1
13675,8,2,14,24,-0.044444444400000005,21,-26
13676,16,20,22,48,0.2909090909,16,3
13677,33,30,39,99,d/0,33,33
13678,13,27,19,39,0.2564102564,13,13
13679,18,18,24,54,0.32142857140000003,18,-11
13680,18,32,24,54,0.2337662338,18,18
13681,25,26,31,75,d/0,25,25
13682,25,33,31,75,0.2192982456,25,25
13683,19,27,25,57,0.9444444444,20,19
13684,24,26,30,72,0.4411764706,24,24
13685,21,24,27,63,d/0,21,21
13686,30,34,36,90,0.1388888889,30,30
13687,27,28,33,81,0.4583333333,27,27
13688,20,22,26,60,1.1666666667,20,20
13689,34,33,40,102,0.16233766230000002,34,25
13690,21,21,27,63,d/0,21,15
13691,22,2,28,66,0.9473684211,22,22
13692,29,10,35,87,0.1526315789,29,-2
13693,21,30,27,63,0.19444444440000003,21,21
13694,27,14,33,81,0.1534090909,27,27
13695,29,23,35,87,d/0,29,29
13696,5,11,11,15,0.008823529399999995,18,-3
13697,22,32,28,66,1.1428571429,22,22
13698,17,2,23,51,0.6,17,17
13699,6,6,12,18,0.75,6,-15
13700,15,7,21,45,0.3409090909,15,9
13701,7,11,13,21,0.75,13,-2
13702,21,15,27,63,0.19090909090000002,21,21
13703,18,29,24,54,0.225,18,18
13704,6,15,12,18,0.028409090900000003,6,6
13705,4,10,10,12,0.14117647060000002,9,4
13706,-1,6,5,-3,0.0026315789000000006,22,-33
13707,33,21,39,99,1.1,33,33
13708,12,14,18,36,d/0,12,12
13709,14,14,20,42,-0.16233766230000002,14,14
13710,32,13,38,96,1.2,32,15
13711,18,18,24,54,0.2337662338,18,18
13712,31,36,37,93,d/0,31,31
13713,26,5,32,78,0.1575757576,26,26
13714,28,28,34,84,0.14358974359999999,28,1
13715,30,30,36,90,0.1357466063,30,30
13716,18,18,24,54,0.3333333334,18,18
13717,16,16,22,48,0.0,16,16
13718,26,30,32,78,0.5833333332999999,26,26
13719,26,33,32,78,1.0769230769,26,26
13720,24,31,30,72,0.2807017544,24,24
13721,24,25,30,72,0.44444444439999997,24,16
13722,9,9,15,27,1.125,9,9
13723,11,22,17,33,0.20833333329999998,11,11
13724,11,11,17,33,-0.028409090900000003,11,11
13725,32,23,38,96,0.3269230769,32,32
13726,27,32,33,81,0.2380952381,27,27
13727,29,24,35,87,d/0,29,29
13728,-1,17,5,-3,0.44444444439999997,-1,-1
13729,-3,16,3,-9,0.11666666669999999,10,-3
13730,15,19,21,45,d/0,15,15
13731,28,28,34,84,0.4102564102,28,28
13732,16,16,22,48,1.0833333333,16,16
13733,1,14,7,3,-0.0047619047,1,1
13734,15,13,21,45,1.125,15,15
13735,-8,-8,-2,-24,0.4,-8,-8
13736,-8,-8,-2,-24,0.1973684211,-8,-8
13737,-4,4,2,-12,0.1,8,-4
13738,22,22,28,66,0.1833333333,22,-4
13739,21,21,27,63,d/0,21,21
13740,14,14,20,42,1.2,16,6
13741,13,11,19,39,0.41666666669999997,13,13
13742,15,31,21,45,-0.07142857150000001,15,15
13743,9,12,15,27,0.5,9,9
13744,11,15,17,33,0.5833333332999999,11,11
13745,-4,9,2,-12,d/0,5,-4
13746,26,26,32,78,0.1547619047,26,-5
13747,22,17,28,66,0.9411764706,22,22
13748,12,18,18,36,d/0,12,12
13749,16,15,22,48,0.3409090909,16,16
13750,21,21,27,63,d/0,21,21
13751,6,5,12,18,0.014423076899999998,6,6
13752,36,15,42,108,1.125,36,36
13753,-4,18,2,-12,0.1041666667,15,-10
13754,28,28,34,84,1.25,28,28
13755,21,25,27,63,0.6666666667,21,21
13756,4,11,10,12,d/0,5,4
13757,1,23,7,3,0.03418803420000001,17,0
13758,35,35,41,105,0.3428571429,35,35
13759,13,13,19,39,-0.8,17,4
13760,9,12,15,27,-0.0473684211,9,9
13761,11,11,17,33,-0.0242424242,11,11
13762,20,28,26,60,0.3166666667,20,20
13763,1,10,7,3,0.4333333333,1,-2
13764,23,20,29,69,0.2666666667,23,23
13765,2,6,8,6,0.03418803420000001,2,-4
13766,24,9,30,72,0.5,24,24
13767,19,14,25,57,1.0555555556,20,19
13768,9,13,15,27,d/0,9,9
13769,0,-16,6,0,0.44444444439999997,1,-16
13770,0,6,6,0,0.0214285714,0,0
13771,17,17,23,51,0.7,17,12
13772,20,31,26,60,d/0,20,20
13773,18,14,24,54,0.39999999999999997,19,18
13774,8,16,14,24,0.09285714290000001,22,8
13775,33,35,39,99,0.22549019609999998,33,23
13776,3,6,9,9,-0.0194805195,17,-19
13777,-8,2,-2,-24,0.1444444444,0,-8
13778,18,26,24,54,0.25,18,18
13779,27,34,33,81,1.5,27,22
13780,10,18,16,30,0.16666666659999999,10,-3
13781,33,27,39,99,0.40476190469999995,33,33
13782,15,14,21,45,0.4333333333,15,15
13783,23,22,29,69,0.2095238096,23,23
13784,32,28,38,96,0.16666666670000002,32,28
13785,20,20,26,60,0.3921568627,20,20
