,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,18,18,21,54,1.0,18,18
1,17,17,20,51,0.3333333333,17,17
2,19,19,22,57,d/0,19,19
3,14,14,17,42,0.25,14,14
4,18,18,21,54,0.2,18,16
5,19,19,22,57,0.1428571429,19,19
6,1,1,4,3,1.0,3,1
7,18,18,21,54,d/0,18,18
8,17,17,20,51,0.25,17,17
9,8,8,11,24,d/0,8,7
10,2,2,5,6,0.5,3,2
11,16,16,19,48,0.25,16,16
12,19,19,22,57,1.0,19,19
13,19,19,22,57,d/0,19,19
14,17,17,20,51,0.25,17,17
15,11,11,14,33,0.1111111111,11,11
16,17,17,20,51,0.125,17,8
17,16,16,19,48,0.5,16,16
18,12,12,15,36,0.3333333333,12,12
19,13,13,16,39,0.3333333333,13,13
20,11,11,14,33,d/0,11,11
21,13,13,16,39,1.0,13,13
22,19,19,22,57,0.1666666667,19,19
23,16,16,19,48,0.3333333333,16,11
24,18,18,21,54,0.5,18,18
25,17,17,20,51,1.0,17,17
26,16,16,19,48,0.1666666667,16,16
27,12,12,15,36,0.5,12,12
28,1,1,4,3,d/0,3,0
29,17,17,20,51,0.0588235294,17,17
30,6,6,9,18,0.1666666667,6,6
31,13,13,16,39,0.25,13,13
32,11,11,14,33,0.25,11,11
33,15,15,18,45,1.0,15,15
34,11,11,14,33,0.1666666667,11,11
35,19,19,22,57,0.1111111111,19,19
36,17,17,20,51,d/0,17,17
37,15,15,18,45,d/0,15,15
38,18,18,21,54,0.3333333333,18,18
39,19,19,22,57,1.0,19,19
40,13,13,16,39,0.0769230769,13,13
41,18,18,21,54,1.0,18,18
42,18,18,21,54,d/0,18,18
43,15,15,18,45,d/0,15,15
44,11,11,14,33,0.1,11,10
45,19,19,22,57,d/0,19,19
46,17,17,20,51,0.1,17,17
47,11,11,14,33,d/0,11,11
48,9,9,12,27,1.0,9,2
49,9,9,12,27,0.3333333333,9,9
50,17,17,20,51,1.0,17,17
51,18,18,21,54,0.2,18,18
52,19,19,22,57,0.3333333333,19,19
53,14,14,17,42,1.0,14,14
54,17,17,20,51,1.0,17,17
55,18,18,21,54,0.1666666667,18,18
56,9,9,12,27,0.5,9,9
57,12,12,15,36,0.0833333333,12,12
58,15,15,18,45,1.0,15,15
59,16,16,19,48,0.2,16,16
60,11,11,14,33,0.3333333333,11,11
61,16,16,19,48,1.0,16,16
62,15,15,18,45,0.1428571429,15,15
63,13,13,16,39,d/0,13,10
64,16,16,19,48,d/0,16,16
65,15,15,18,45,0.0909090909,15,15
66,17,17,20,51,0.5,17,17
67,17,17,20,51,d/0,17,17
68,18,18,21,54,0.25,18,4
69,13,13,16,39,d/0,13,13
70,17,17,20,51,0.1666666667,17,17
71,19,19,22,57,d/0,19,19
72,19,19,22,57,0.5,19,19
73,13,13,16,39,0.5,13,13
74,13,13,16,39,0.1666666667,13,13
75,16,16,19,48,1.0,16,16
76,17,17,20,51,0.0625,17,16
77,19,19,22,57,d/0,19,19
78,15,15,18,45,0.0833333333,15,15
79,10,10,13,30,d/0,10,10
80,15,15,18,45,1.0,15,15
81,14,14,17,42,0.5,14,14
82,16,16,19,48,0.5,16,16
83,6,6,9,18,0.2,6,6
84,10,10,13,30,0.1,10,10
85,14,14,17,42,0.5,14,13
86,14,14,17,42,d/0,14,12
87,16,16,19,48,0.0909090909,16,16
88,17,17,20,51,1.0,17,17
89,13,13,16,39,1.0,13,13
90,19,19,22,57,0.2,19,19
91,19,19,22,57,d/0,19,19
92,18,18,21,54,0.5,18,18
93,18,18,21,54,0.1428571429,18,18
94,17,17,20,51,0.5,17,17
95,14,14,17,42,1.0,14,14
96,18,18,21,54,0.25,18,17
97,16,16,19,48,0.0769230769,16,16
98,14,14,17,42,0.0714285714,14,-13
99,18,18,21,54,0.1428571429,18,18
100,17,17,20,51,0.25,17,17
101,19,19,22,57,0.25,19,19
102,13,13,16,39,0.2,13,13
103,8,8,11,24,0.5,8,7
104,15,15,18,45,0.2,15,15
105,11,11,14,33,d/0,11,11
106,19,19,22,57,d/0,19,19
107,18,18,21,54,0.1111111111,18,18
108,19,19,22,57,0.5,19,19
109,17,17,20,51,0.3333333333,17,17
110,18,18,21,54,d/0,18,18
111,13,13,16,39,0.3333333333,13,7
112,13,13,16,39,d/0,13,13
113,13,13,16,39,1.0,13,13
114,1,1,4,3,1.0,3,-15
