,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
191,9,9,10,9,d/0,10,8
192,11,11,12,11,d/0,12,10
193,10,10,10,10,d/0,11,9
194,14,14,14,14,14,15,13
195,6,6,6,6,6,7,5
196,13,13,14,13,d/0,14,12
197,4,4,4,4,4,5,3
198,10,10,10,10,10,11,9
199,11,11,11,11,11,12,10
200,3,3,3,3,3,4,2
201,9,9,9,9,9,10,8
202,3,3,3,3,3,4,2
203,10,10,10,10,10,11,9
204,6,6,6,6,6,7,5
205,5,5,5,5,5,6,4
206,10,10,11,10,d/0,11,9
207,6,6,6,6,6,7,5
208,6,6,6,6,6,7,5
209,3,3,3,3,3,4,2
210,13,13,13,13,13,14,12
211,5,5,5,5,5,6,4
212,6,6,6,6,d/0,7,6
213,13,13,14,13,d/0,14,12
214,6,6,5,6,6,7,5
215,3,3,3,3,3,4,2
216,7,7,6,7,7,8,6
217,12,12,12,12,12,13,11
218,8,8,9,8,d/0,9,7
219,12,12,12,12,12,13,11
220,4,4,4,4,4,5,3
221,9,9,10,9,d/0,10,9
222,3,3,3,3,3,4,2
223,6,6,6,6,d/0,7,5
224,9,9,8,9,9,10,8
225,12,12,11,12,12,13,11
226,5,5,6,5,d/0,6,4
227,11,11,11,11,11,12,10
228,10,10,10,10,10,11,9
229,14,14,12,14,14,15,13
230,10,10,10,10,10,11,9
231,4,4,4,4,4,5,3
232,4,4,4,4,4,5,3
233,4,4,4,4,4,5,3
234,13,13,13,13,13,14,12
235,13,13,13,13,13,14,12
236,13,13,13,13,13,14,12
237,8,8,8,8,8,9,7
238,10,10,10,10,10,11,9
239,6,6,6,6,6,7,5
240,6,6,7,6,d/0,7,5
241,7,7,9,7,d/0,8,6
242,10,10,9,10,10,11,9
243,3,3,3,3,3,4,2
244,10,10,11,10,d/0,11,9
245,9,9,9,9,9,10,8
246,12,12,13,12,d/0,13,11
247,7,7,7,7,7,8,6
248,8,8,8,8,8,9,7
249,4,4,4,4,4,5,3
250,10,10,9,10,10,11,9
251,12,12,14,12,d/0,13,11
252,3,3,2,3,3,4,2
253,5,5,5,5,5,6,4
254,7,7,7,7,7,8,6
255,13,13,13,13,13,14,12
256,6,6,6,6,6,7,5
257,13,13,13,13,13,14,12
258,13,13,13,13,13,14,12
259,13,13,13,13,13,14,12
260,10,10,10,10,10,11,9
261,9,9,9,9,9,10,8
262,11,11,11,11,11,12,10
263,14,14,14,14,14,15,13
264,13,13,13,13,13,14,12
265,5,5,5,5,5,6,4
266,11,11,11,11,11,12,10
267,4,4,4,4,4,5,3
268,11,11,10,11,11,12,10
269,3,3,3,3,3,4,2
270,9,9,9,9,9,10,8
271,5,5,5,5,5,6,4
272,4,4,4,4,4,5,3
273,11,11,11,11,11,12,10
274,14,14,14,14,14,15,13
275,13,13,12,13,13,14,12
276,4,4,4,4,4,5,3
277,9,9,10,9,d/0,10,8
278,4,4,4,4,4,5,3
279,13,13,11,13,13,14,12
280,10,10,9,10,10,11,9
281,12,12,14,12,d/0,13,11
282,5,5,5,5,5,6,4
283,13,13,13,13,13,14,12
284,10,10,9,10,d/0,11,9
285,6,6,6,6,6,7,5
286,3,3,3,3,3,4,2
287,11,11,11,11,11,12,10
288,13,13,13,13,13,14,12
289,10,10,10,10,10,11,9
290,11,11,12,11,d/0,12,11
291,13,13,14,13,d/0,14,12
292,10,10,10,10,10,11,9
293,11,11,11,11,11,12,10
294,3,3,2,3,3,4,2
295,3,3,3,3,3,4,2
296,5,5,4,5,5,6,4
297,8,8,7,8,8,9,7
298,13,13,13,13,13,14,12
299,9,9,9,9,d/0,10,8
300,6,6,6,6,6,7,5
301,9,9,9,9,9,10,8
302,12,12,12,12,12,13,11
303,11,11,11,11,11,12,10
304,8,8,8,8,8,9,7
305,13,13,13,13,13,14,12
306,6,6,5,6,6,7,5
307,10,10,10,10,d/0,11,9
308,12,12,12,12,12,13,11
309,4,4,4,4,4,5,3
310,13,13,13,13,13,14,12
311,6,6,6,6,6,7,5
312,10,10,10,10,10,11,9
313,4,4,4,4,4,5,3
314,8,8,8,8,8,9,7
315,12,12,14,12,d/0,13,11
316,14,14,13,14,14,15,13
317,3,3,3,3,3,4,2
318,8,8,9,8,d/0,9,7
319,6,6,6,6,6,7,5
320,10,10,10,10,10,11,9
321,8,8,8,8,8,9,7
322,5,5,4,5,5,6,4
323,2,2,3,2,d/0,3,1
324,8,8,9,8,d/0,9,7
325,5,5,5,5,5,6,4
326,5,5,3,5,5,6,4
327,6,6,6,6,6,7,5
328,14,14,14,14,14,15,13
329,7,7,8,7,d/0,8,6
330,9,9,9,9,9,10,8
331,7,7,6,7,7,8,6
332,4,4,6,4,d/0,5,3
333,6,6,6,6,6,7,5
334,5,5,5,5,5,6,4
335,5,5,7,5,d/0,6,5
336,4,4,5,4,d/0,5,4
337,7,7,8,7,d/0,8,6
338,3,3,3,3,3,4,2
339,8,8,9,8,d/0,9,7
340,10,10,9,10,10,11,9
341,3,3,3,3,3,4,2
342,13,13,12,13,13,14,12
343,4,4,4,4,4,5,3
344,7,7,7,7,d/0,8,6
345,10,10,10,10,d/0,11,9
346,3,3,3,3,3,4,2
347,5,5,5,5,5,6,4
