,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
14306,-3.5,-3.5,-0.5,-10.5,-0.07045454545,-2.0,-2.0
14307,-7.0,-7.0,-4.0,-21.0,-0.0625,-4.5,-4.5
14308,-7.0,-7.0,-4.0,-21.0,-0.1,-5.0,-6.5
14309,-3.0,-3.0,0.0,-9.0,-0.0588235294,-1.0,-7.5
14310,4.0,4.0,7.0,12.0,0.0588235294,3.5,3.5
14311,-5.0,-5.0,-2.0,-15.0,-0.0769230769,-3.5,-3.5
14312,4.0,4.0,7.0,12.0,0.1111111111,3.5,5.0
14313,11.0,11.0,14.0,33.0,0.0714285714,10.0,11.0
14314,-8.5,-8.5,-5.5,-25.5,-0.0679824561,-8.0,-8.0
14315,-7.0,-7.0,-4.0,-21.0,-0.1111111111,-2.0,1.5
14316,10.0,10.0,13.0,30.0,0.0909090909,9.5,10.5
14317,-10.0,-10.0,-7.0,-30.0,-0.0769230769,-9.0,-10.0
14318,2.5,2.5,5.5,7.5,0.0634920635,3.0,3.0
14319,0.5,0.5,3.5,1.5,-0.0034722221999999997,3.0,7.0
14320,-2.0,-2.0,1.0,-6.0,0.041666666699999994,3.0,3.0
14321,5.0,5.0,8.0,15.0,d/0,3.0,9.0
14322,-6.0,-6.0,-3.0,-18.0,-0.0588235294,-1.5,1.0
14323,4.0,4.0,7.0,12.0,0.0625,3.5,3.0
14324,2.0,2.0,5.0,6.0,0.05409356725,2.0,2.0
14325,-7.5,-7.5,-4.5,-22.5,d/0,0.0,0.0
14326,-8.0,-8.0,-5.0,-24.0,-0.0555555556,-7.5,-7.5
14327,8.0,8.0,11.0,24.0,0.0526315789,5.5,5.5
14328,1.0,1.0,4.0,3.0,0.0588235294,1.5,0.0
14329,-4.5,-4.5,-1.5,-13.5,-0.06458333335,-4.0,-4.0
14330,-1.0,-1.0,2.0,-3.0,0.004464285700000001,3.0,10.0
14331,-1.0,-1.0,2.0,-3.0,d/0,-0.5,-0.5
14332,-2.0,-2.0,1.0,-6.0,0.015350877200000002,2.0,-6.0
14333,3.5,3.5,6.5,10.5,0.094017094,3.0,4.0
14334,-1.5,-1.5,1.5,-4.5,-0.101010101,-1.0,-2.0
14335,0.0,0.0,3.0,0.0,d/0,1.5,2.0
14336,2.5,2.5,5.5,7.5,0.10084033615,3.0,3.0
14337,-1.0,-1.0,2.0,-3.0,d/0,-0.5,-0.5
14338,-8.0,-8.0,-5.0,-24.0,d/0,0.0,0.0
14339,-8.0,-8.0,-5.0,-24.0,-0.0588235294,-7.0,-7.0
14340,2.5,2.5,5.5,7.5,-0.008333333300000002,3.0,-8.0
14341,-8.0,-8.0,-5.0,-24.0,-0.0651260504,-5.0,-11.0
14342,-2.0,-2.0,1.0,-6.0,0.00904977375,1.0,1.0
14343,2.0,2.0,5.0,6.0,0.0588235294,2.5,9.5
14344,2.0,2.0,5.0,6.0,d/0,3.0,0.0
14345,1.5,1.5,4.5,4.5,-0.0034722221999999997,3.0,4.0
14346,-10.0,-10.0,-7.0,-30.0,-0.0666666667,-8.0,-8.0
14347,-8.0,-8.0,-5.0,-24.0,-0.05409356725,-5.0,-11.0
14348,-4.5,-4.5,-1.5,-13.5,-0.14166666665,-4.0,-5.0
14349,1.0,1.0,4.0,3.0,-0.006302521000000002,3.0,-4.0
14350,-3.0,-3.0,0.0,-9.0,-0.0801282051,-2.0,-2.0
14351,-2.5,-2.5,0.5,-7.5,0.002777777799999999,2.0,2.0
14352,3.0,3.0,6.0,9.0,d/0,3.0,0.0
14353,0.5,0.5,3.5,1.5,d/0,1.0,0.0
14354,5.0,5.0,8.0,15.0,0.0919117647,3.0,2.0
14355,9.0,9.0,12.0,27.0,0.0666666667,8.5,12.0
14356,-6.0,-6.0,-3.0,-18.0,-0.004934210549999998,1.0,-13.0
14357,-7.0,-7.0,-4.0,-21.0,-0.09375,-6.0,-6.0
14358,5.0,5.0,8.0,15.0,d/0,4.0,8.0
14359,3.0,3.0,6.0,9.0,-0.016042780750000003,3.0,9.0
14360,2.0,2.0,5.0,6.0,0.1,2.5,-7.5
14361,0.5,0.5,3.5,1.5,0.007017543899999999,3.0,14.0
14362,-6.0,-6.0,-3.0,-18.0,-0.0666666667,-4.5,-7.0
14363,11.0,11.0,14.0,33.0,0.0833333333,7.0,5.0
14364,3.5,3.5,6.5,10.5,0.07417582415,3.0,3.0
14365,-10.0,-10.0,-7.0,-30.0,-0.1,-5.5,-13.5
14366,-3.0,-3.0,0.0,-9.0,-0.07738095235,-2.0,-4.0
14367,-2.0,-2.0,1.0,-6.0,d/0,-1.0,-1.0
14368,-7.5,-7.5,-4.5,-22.5,-0.09545454545000001,-5.0,-5.0
14369,-2.0,-2.0,1.0,-6.0,d/0,-1.5,-3.5
14370,-1.5,-1.5,1.5,-4.5,-0.06666666665000001,-1.0,-2.0
14371,5.0,5.0,8.0,15.0,0.05409356725,4.0,4.0
14372,7.5,7.5,10.5,22.5,0.07738095235,7.0,7.0
14373,-0.5,-0.5,2.5,-1.5,0.0079365079,3.0,-4.0
14374,-7.5,-7.5,-4.5,-22.5,-0.07486631015,-6.0,-9.0
14375,5.0,5.0,8.0,15.0,0.0909090909,4.0,-3.0
14376,7.5,7.5,10.5,22.5,0.08496732025,6.0,9.0
14377,-5.0,-5.0,-2.0,-15.0,-0.2,-1.0,2.0
14378,5.5,5.5,8.5,16.5,d/0,4.0,4.0
14379,7.0,7.0,10.0,21.0,0.06458333335,5.0,5.0
14380,1.5,1.5,4.5,4.5,0.07670454545,2.0,1.0
14381,-10.0,-10.0,-7.0,-30.0,-0.0833333333,-8.0,-8.0
14382,-5.0,-5.0,-2.0,-15.0,-0.0666666667,-3.5,-5.5
14383,7.0,7.0,10.0,21.0,0.0555555556,6.0,7.0
14384,-12.0,-12.0,-9.0,-36.0,-0.0625,-4.5,-14.0
14385,5.0,5.0,8.0,15.0,0.0526315789,3.0,7.0
14386,1.0,1.0,4.0,3.0,0.0588235294,2.0,-0.5
14387,-1.0,-1.0,2.0,-3.0,-0.3333333333,1.0,9.0
14388,-1.0,-1.0,2.0,-3.0,d/0,0.0,-2.0
14389,1.0,1.0,4.0,3.0,d/0,2.0,6.0
14390,10.0,10.0,13.0,30.0,0.1098901099,7.0,13.0
14391,5.5,5.5,8.5,16.5,d/0,5.0,5.0
14392,3.0,3.0,6.0,9.0,-0.13541666665,3.0,7.0
14393,3.0,3.0,6.0,9.0,0.1111111111,3.0,3.0
14394,-4.0,-4.0,-1.0,-12.0,d/0,-2.5,-2.5
14395,6.0,6.0,9.0,18.0,0.0588235294,4.5,5.0
14396,-8.0,-8.0,-5.0,-24.0,-0.05,-3.5,-3.5
14397,12.0,12.0,15.0,36.0,0.0833333333,11.5,11.5
14398,-7.0,-7.0,-4.0,-21.0,-0.1,-2.5,-4.0
14399,-14.0,-14.0,-11.0,-42.0,-0.0526315789,-6.0,-16.0
14400,8.5,8.5,11.5,25.5,0.07486631015,8.0,8.0
14401,-2.0,-2.0,1.0,-6.0,d/0,-1.0,-4.0
14402,-3.0,-3.0,0.0,-9.0,0.006302521000000002,1.0,1.0
14403,-6.5,-6.5,-3.5,-19.5,-0.0555555556,-5.0,-5.0
14404,1.0,1.0,4.0,3.0,d/0,2.0,0.0
14405,-5.0,-5.0,-2.0,-15.0,-0.2,-1.0,6.5
14406,-1.0,-1.0,2.0,-3.0,-0.0555555556,-1.0,-1.0
14407,5.0,5.0,8.0,15.0,0.0555555556,4.0,6.0
14408,0.0,0.0,3.0,0.0,d/0,0.0,0.0
14409,-7.0,-7.0,-4.0,-21.0,-0.0588235294,-2.0,-8.0
14410,4.0,4.0,7.0,12.0,0.0714285714,3.5,3.5
14411,-5.0,-5.0,-2.0,-15.0,-0.1428571429,-1.0,3.0
14412,2.0,2.0,5.0,6.0,0.05409356725,3.0,1.0
14413,6.0,6.0,9.0,18.0,0.0909090909,4.5,8.5
14414,-8.5,-8.5,-5.5,-25.5,-0.16346153845,-4.0,-4.0
14415,2.0,2.0,5.0,6.0,0.0769230769,2.0,-3.5
14416,8.5,8.5,11.5,25.5,0.07179487179999999,6.0,11.0
14417,3.0,3.0,6.0,9.0,d/0,3.0,3.0
14418,-4.0,-4.0,-1.0,-12.0,d/0,0.0,-8.0
14419,0.0,0.0,3.0,0.0,d/0,1.0,-0.5
14420,-1.0,-1.0,2.0,-3.0,-0.0833333333,1.0,-5.0
14421,5.0,5.0,8.0,15.0,d/0,5.0,5.0
14422,-9.0,-9.0,-6.0,-27.0,d/0,0.0,-18.0
14423,0.5,0.5,3.5,1.5,0.005128205099999998,3.0,3.0
14424,3.5,3.5,6.5,10.5,0.15000000000000002,3.0,4.0
14425,6.0,6.0,9.0,18.0,0.0666666667,4.5,3.5
14426,-5.0,-5.0,-2.0,-15.0,-0.0666666667,-3.0,-10.0
14427,9.5,9.5,12.5,28.5,0.06971153845,7.0,7.0
14428,-10.0,-10.0,-7.0,-30.0,-0.0833333333,-7.5,-7.5
14429,3.5,3.5,6.5,10.5,0.0014619883499999986,3.0,8.0
14430,3.5,3.5,6.5,10.5,-0.03618421055,3.0,-1.0
14431,6.0,6.0,9.0,18.0,0.05409356725,3.0,11.0
14432,-2.0,-2.0,1.0,-6.0,0.0069930070000000025,3.0,5.0
14433,8.0,8.0,11.0,24.0,0.0588235294,7.0,8.5
14434,-1.5,-1.5,1.5,-4.5,d/0,0.0,-3.0
14435,-4.5,-4.5,-1.5,-13.5,-0.09722222220000001,-4.0,-5.0
14436,-13.0,-13.0,-10.0,-39.0,-0.0666666667,-5.0,-0.5
14437,6.0,6.0,9.0,18.0,0.0909090909,5.5,5.5
14438,-3.0,-3.0,0.0,-9.0,-0.0714285714,0.0,2.5
14439,-4.0,-4.0,-1.0,-12.0,d/0,-3.5,-4.5
14440,-17.0,-17.0,-14.0,-51.0,-0.0527777778,-16.0,-18.0
14441,0.0,0.0,3.0,0.0,d/0,1.5,-0.5
14442,-10.5,-10.5,-7.5,-31.5,-0.0666666667,-10.0,-10.0
14443,2.0,2.0,5.0,6.0,0.0526315789,2.0,-2.0
14444,17.0,17.0,20.0,51.0,0.0588235294,10.0,9.0
