,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
131,-44,-44,-29,-132,-0.22027041590000002,-41,-31
132,11,11,47,33,0.5327168747,14,17
133,14,14,56,42,d/0,17,15
134,-44,-44,-32,-132,-0.5380952381,-41,-40
135,-6,-6,3,-18,0.3078431373,-3,11
136,39,39,51,117,d/0,42,20
137,-77,-77,-47,-231,-0.8754161042000002,-74,-90
138,-66,-66,-36,-198,d/0,-63,-63
139,-7,-7,2,-21,-0.1090086384,-4,-24
140,15,15,39,45,0.289232886,18,35
141,13,13,22,39,0.1477124183,16,-4
142,-24,-24,-6,-72,-0.18208556149999994,-21,-27
143,12,12,48,36,d/0,15,-3
144,-14,-14,1,-42,-0.1791666666,-11,-9
145,41,41,62,123,0.22142857139999997,44,29
146,-27,-27,-9,-81,0.7388888889,-24,-18
147,-30,-30,9,-90,d/0,-27,-19
148,22,22,34,66,0.4692982456,25,18
149,4,4,28,12,1.2909090909,7,23
150,-15,-15,6,-45,-0.06879699249999997,-12,-34
151,-8,-8,22,-24,-0.5491452991,-5,10
152,-19,-19,-7,-57,-0.2,-16,-14
153,14,14,35,42,0.625890776,17,10
154,-35,-35,-14,-105,0.26257404879999996,-32,-24
155,18,18,51,54,0.11940836950000001,21,8
156,-27,-27,3,-81,0.5713675211999999,-24,-21
157,35,35,65,105,d/0,38,23
158,-35,-35,-26,-105,-0.2857142857,-32,-21
159,-13,-13,8,-39,-0.20108543409999996,-10,-18
160,-45,-45,-18,-135,-0.6917916449,-42,-34
161,7,7,43,21,0.07612146610000001,10,3
162,-37,-37,-1,-111,d/0,-34,-43
163,-31,-31,8,-93,-0.7705460174,-28,-42
164,-17,-17,25,-51,d/0,-14,-21
165,-44,-44,-2,-132,d/0,-41,-47
166,15,15,24,45,-0.25714285709999996,18,5
167,-30,-30,-12,-90,-0.6615490934,-27,-49
168,-13,-13,20,-39,-1.3523199024,-10,-23
169,19,19,28,57,0.4916666667,22,14
170,-12,-12,30,-36,0.07074371710000003,-9,-24
171,-23,-23,-8,-69,-0.015873015899999995,-20,-32
172,-24,-24,12,-72,d/0,-21,-24
173,24,24,66,72,-1.1572890560999998,27,10
174,26,26,68,78,-0.6070096569000001,29,44
175,-11,-11,-2,-33,-0.09450549450000001,-8,-1
176,-22,-22,-13,-66,0.11403508770000001,-19,-16
177,9,9,42,27,-0.5869047619,12,14
178,-47,-47,-23,-141,-1.0581510594,-44,-32
179,-14,-14,16,-42,d/0,-11,-14
180,-42,-42,-12,-126,d/0,-39,-25
181,-22,-22,14,-66,-0.2043128655,-19,-2
182,52,52,88,156,-0.02229118930000004,55,60
183,-6,-6,36,-18,-0.9555916306000001,-3,2
184,-37,-37,5,-111,-0.5798714141000003,-34,-46
185,-26,-26,-5,-78,0.07499999999999998,-23,-20
186,26,26,65,78,d/0,29,37
187,-24,-24,-9,-72,d/0,-21,-9
188,-27,-27,-3,-81,-0.8343776107,-24,-26
189,-4,-4,14,-12,0.04578111960000003,-1,-7
190,-38,-38,4,-114,-1.3339234896,-35,-37
191,-43,-43,-13,-129,d/0,-40,-38
192,-52,-52,-16,-156,d/0,-49,-43
193,59,59,92,177,d/0,62,44
194,-85,-85,-43,-255,-0.9805438842,-82,-78
195,23,23,41,69,0.8841880341999999,26,19
196,4,4,46,12,d/0,7,15
197,-37,-37,-25,-111,-0.09273504269999999,-34,-17
198,-41,-41,-11,-123,1.0567349746999997,-38,-22
199,-58,-58,-25,-174,0.17713032590000008,-55,-39
200,-45,-45,-36,-135,-0.214379085,-42,-28
201,-66,-66,-39,-198,0.2307017544,-63,-84
202,-32,-32,-23,-96,0.06111111109999999,-29,-12
203,-74,-74,-44,-222,0.31778083020000003,-71,-59
204,-53,-53,-35,-159,-0.8142857144,-50,-46
205,-3,-3,12,-9,0.4045112782,0,-18
206,-4,-4,29,-12,d/0,-1,12
207,-4,-4,14,-12,0.028571428600000004,-1,-12
208,3,3,21,9,-0.5946428571,6,-4
209,2,2,11,6,-1.0555555556,5,8
210,8,8,47,24,-0.4979218879,11,-8
211,28,28,43,84,1.8214285713999998,31,27
212,30,30,51,90,d/0,33,30
213,37,37,79,111,d/0,40,35
214,14,14,32,42,0.5619658121000001,17,-4
215,-20,-20,-11,-60,-1.2159090909,-17,-9
