,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,12803590800,12803590800,94950653952,2268117699447600,7.810308960358215e-11,38410772400,1163962800
1,2758080,2758080,1996800,6031920960,3.62571063602216e-07,8274240,-344760
2,0,0,312847920,0,d/0,0,0
3,-73920,-73920,-59976,-17962560,-1.3528138515963205e-05,-221760,7392
4,1166400,1166400,1034208,850305600,8.573388215020576e-07,3499200,64800
5,1083022617600,1083022617600,0,5180063606279654400,9.233417502545056e-13,3249067852800,154717516800
6,-20,-20,16,-1620,-0.05,-60,5
7,0,0,3218916879360,0,d/0,0,0
8,145057770000,145057770000,323695411200,25696548782190000,6.893805132258687e-12,435173310000,-14505777000
9,0,0,-5940000,0,d/0,0,0
10,-73598976,-73598976,0,-4345945933824,-1.3587145543981484e-08,-220796928,18399744
11,4096000,4096000,1573390,8957952000,2.4414062500000006e-07,12288000,-512000
12,1755182,1755182,-6307840,3838583034,5.697414841309905e-07,5265546,1755182
13,0,0,-12142690560,0,d/0,0,0
14,-537384960,-537384960,-777546000,-10577348167680,-1.8608633929762382e-09,-1612154880,67173120
15,-220077,-220077,-161280,-53478711,-4.543864186171205e-06,-660231,11583
16,-2040,-2040,-2640,-55080,-0.0004901960785784313,-6120,-120
17,-832832,-832832,-5852000,-5464210752,-1.2007223532477138e-06,-2498496,832832
18,-1795537497600,-1795537497600,0,-2862666729786124800,-5.56936294695403e-13,-5386612492800,598512499200
19,-679311360,-679311360,951782400,-120337969489920,-1.472079018080899e-09,-2037934080,-75479040
20,0,0,-103934638080,0,d/0,0,0
21,-58968,-58968,0,-42987672,-1.6958350295075294e-05,-176904,3276
22,2034900,2034900,9266400,1483442100,4.914246399823087e-07,6104700,135660
23,207567360,207567360,308107800,1361849448960,4.817713148637627e-09,622702080,12972960
24,-128595600000,-128595600000,0,-205022922778800000,-7.776315849842452e-12,-385786800000,128595600000
25,-91688371200,-91688371200,-2196892938240,-438542637110092800,-1.0906508499520605e-11,-275065113600,-10187596800
26,122543616,122543616,127475712,268002888192,8.160359801199273e-09,367630848,-7208448
27,-7223040,-7223040,-3456000,-142171096320,-1.3844586203316057e-07,-21669120,3611520
28,0,0,-120,0,d/0,0,0
29,1373328,1373328,-403200,3003468336,7.281581673132712e-07,4119984,-228888
30,544320,544320,280665,396809280,1.8371546167695475e-06,1632960,-30240
31,3363360,3363360,4892160,7355668320,2.9732172583369025e-07,10090080,840840
32,-1098240,-1098240,38220,-7205552640,-9.105477853656761e-07,-3294720,-109824
33,-25740000,-25740000,-934502400,-506640420000,-3.8850038838383853e-08,-77220000,-25740000
34,5364817920,5364817920,0,950361400074240,1.8639961605630782e-10,16094453760,-268240896
35,-5310792527040,-5310792527040,0,-8467118674087993920,-1.882958131029374e-13,-15932377581120,-354052835136
36,0,0,-3406233600,0,d/0,0,0
37,0,0,0,0,d/0,0,0
38,-46349820000,-46349820000,-887633510400,-73896584071860000,-2.1575056824384655e-11,-139049460000,-2726460000
39,2361569280000,2361569280000,-111198062976,3765104219197440000,4.234472421660229e-13,7084707840000,-590392320000
40,-210600,-210600,0,-153527400,-4.748338080246914e-06,-631800,70200
41,-415738552320,-415738552320,-1069915392000,-662821535950479360,-2.405357874124422e-12,-1247215656960,-59391221760
42,0,0,35910,0,d/0,0,0
43,0,0,0,0,d/0,0,0
44,-550,-550,-364,-14850,-0.001818181818,-1650,-50
45,0,0,67060224000,0,d/0,0,0
