,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,-19,-19,-16,-57,-0.1428571429,-19,-19
1,-8,-8,-5,-24,-0.25,-8,-4
2,-14,-14,-11,-42,d/0,-14,-14
3,-12,-12,-9,-36,-0.1,-12,-12
4,-9,-9,-6,-27,-0.1666666667,-9,-9
5,-12,-12,-9,-36,-1.0,-12,-12
6,-5,-5,-2,-15,-1.0,-5,-5
7,-18,-18,-15,-54,d/0,-18,-18
8,-15,-15,-12,-45,-0.1,-15,-15
9,-13,-13,-10,-39,d/0,-13,-13
10,-16,-16,-13,-48,-1.0,-16,-16
11,-16,-16,-13,-48,-0.2,-16,-16
12,-19,-19,-16,-57,-0.5,-19,-19
13,-16,-16,-13,-48,d/0,-16,-16
14,-14,-14,-11,-42,-0.1666666667,-14,-14
15,-19,-19,-16,-57,-0.1111111111,-19,-13
16,-15,-15,-12,-45,-0.0666666667,-15,-15
17,-14,-14,-11,-42,-1.0,-14,-14
18,-17,-17,-14,-51,-0.3333333333,-17,-17
19,-20,-20,-17,-60,-1.0,-20,-20
20,-20,-20,-17,-60,d/0,-20,-20
21,-18,-18,-15,-54,-0.3333333333,-18,-14
22,6,6,9,18,0.0526315789,3,6
23,-18,-18,-15,-54,-0.0833333333,-18,-18
24,-14,-14,-11,-42,-1.0,-14,-14
25,-17,-17,-14,-51,-1.0,-17,-17
26,-19,-19,-16,-57,-0.0625,-19,-19
27,-19,-19,-16,-57,-1.0,-19,-19
28,-13,-13,-10,-39,d/0,-13,-13
29,-17,-17,-14,-51,-1.0,-17,-17
30,-18,-18,-15,-54,-0.1666666667,-18,-14
31,-7,-7,-4,-21,-0.1428571429,-7,-7
32,-13,-13,-10,-39,-0.5,-13,-13
33,-11,-11,-8,-33,-0.0909090909,-11,-11
34,-20,-20,-17,-60,-0.3333333333,-20,-14
35,-19,-19,-16,-57,-0.5,-19,-19
36,-11,-11,-8,-33,d/0,-11,-11
37,-10,-10,-7,-30,d/0,-10,-10
38,-10,-10,-7,-30,-1.0,-10,-10
39,-20,-20,-17,-60,-0.5,-20,-20
40,-20,-20,-17,-60,-0.3333333333,-20,-20
41,-17,-17,-14,-51,-0.25,-17,-17
42,0,0,3,0,d/0,0,0
43,-17,-17,-14,-51,d/0,-17,-17
44,-5,-5,-2,-15,-0.2,-5,-5
45,-18,-18,-15,-54,d/0,-18,-18
46,-11,-11,-8,-33,-0.0909090909,-11,10
47,-20,-20,-17,-60,d/0,-20,-20
48,-20,-20,-17,-60,-0.05,-20,-20
49,-19,-19,-16,-57,-0.1666666667,-19,-19
50,1,1,4,3,0.0588235294,1,1
51,-16,-16,-13,-48,-0.0625,-16,-16
52,-10,-10,-7,-30,-0.3333333333,-10,-10
53,-5,-5,-2,-15,-1.0,-5,-5
54,-18,-18,-15,-54,-0.0666666667,-18,-18
55,-20,-20,-17,-60,-0.5,-20,-20
56,-9,-9,-6,-27,-0.3333333333,-9,-9
57,-19,-19,-16,-57,-0.1111111111,-19,-19
58,-15,-15,-12,-45,-1.0,-15,-15
59,-17,-17,-14,-51,-0.5,-17,-17
60,-11,-11,-8,-33,-0.25,-11,-8
61,-18,-18,-15,-54,-1.0,-18,-18
62,-20,-20,-17,-60,-0.1111111111,-20,-20
63,-18,-18,-15,-54,d/0,-18,-18
64,-20,-20,-17,-60,d/0,-20,-20
65,-20,-20,-17,-60,-0.5,-20,-20
66,-18,-18,-15,-54,-0.3333333333,-18,-18
67,-19,-19,-16,-57,d/0,-19,-19
68,-4,-4,-1,-12,-0.25,-4,-4
69,-19,-19,-16,-57,d/0,-19,-19
70,-9,-9,-6,-27,-0.1666666667,-9,-9
71,-8,-8,-5,-24,d/0,-8,-8
72,-1,-1,2,-3,-1.0,-1,-1
73,-9,-9,-6,-27,-0.1111111111,-9,-9
74,-17,-17,-14,-51,-0.0909090909,-17,-17
75,-7,-7,-4,-21,-0.5,-7,-7
76,-8,-8,-5,-24,-0.125,-8,-8
77,-11,-11,-8,-33,d/0,-11,-11
78,-11,-11,-8,-33,-0.2,-11,-11
79,-14,-14,-11,-42,d/0,-14,-14
80,-18,-18,-15,-54,-1.0,-18,-18
81,-19,-19,-16,-57,-0.25,-19,-19
82,2,2,5,6,0.0625,2,11
83,-20,-20,-17,-60,-0.25,-20,-20
84,-20,-20,-17,-60,-0.0909090909,-20,-20
85,-14,-14,-11,-42,-1.0,-14,-14
86,-12,-12,-9,-36,d/0,-12,-12
87,-15,-15,-12,-45,-0.5,-15,-15
88,-5,-5,-2,-15,-0.2,-5,-5
89,-19,-19,-16,-57,-0.3333333333,-19,-16
90,-15,-15,-12,-45,-1.0,-15,-1
91,-20,-20,-17,-60,d/0,-20,-20
92,-13,-13,-10,-39,-0.0769230769,-13,2
93,-11,-11,-8,-33,-0.2,-11,-11
94,-18,-18,-15,-54,-0.25,-18,-18
95,-20,-20,-17,-60,-0.3333333333,-20,-20
96,-10,-10,-7,-30,-1.0,-10,-10
97,-18,-18,-15,-54,-0.5,-18,-18
98,-20,-20,-17,-60,-0.0769230769,-20,-20
99,-14,-14,-11,-42,-0.25,-14,-14
100,-12,-12,-9,-36,-0.5,-12,-12
101,-16,-16,-13,-48,-1.0,-16,-16
102,-18,-18,-15,-54,-0.125,-18,-18
103,-13,-13,-10,-39,-0.0769230769,-13,-13
104,-19,-19,-16,-57,-0.5,-19,-19
105,-18,-18,-15,-54,d/0,-18,-18
106,-13,-13,-10,-39,d/0,-13,-13
107,-20,-20,-17,-60,-1.0,-20,-20
108,-19,-19,-16,-57,-1.0,-19,-15
109,-19,-19,-16,-57,-0.25,-19,-19
110,-19,-19,-16,-57,d/0,-19,-19
111,-14,-14,-11,-42,-0.3333333333,-14,-14
112,-14,-14,-11,-42,d/0,-14,-14
113,-19,-19,-16,-57,-1.0,-19,-19
114,-17,-17,-14,-51,-0.0666666667,-17,-17
115,-17,-17,-14,-51,-0.2,-17,-17
116,-16,-16,-13,-48,-0.125,-16,-16
117,-20,-20,-17,-60,d/0,-20,-20
118,-10,-10,-7,-30,-0.1,-10,2
119,-10,-10,-7,-30,d/0,-10,-10
120,-20,-20,-17,-60,-0.125,-20,-20
121,-12,-12,-9,-36,-0.1111111111,-12,-9
122,-15,-15,-12,-45,d/0,-15,-15
123,-20,-20,-17,-60,-0.0769230769,-20,-13
124,-20,-20,-17,-60,-0.3333333333,-20,-17
125,-19,-19,-16,-57,d/0,-19,-19
126,-19,-19,-16,-57,-0.25,-19,-19
127,-16,-16,-13,-48,-0.0833333333,-16,-16
128,-20,-20,-17,-60,-0.1,-20,-20
129,-5,-5,-2,-15,d/0,-5,-5
130,-14,-14,-11,-42,-0.3333333333,-14,-14
131,-17,-17,-14,-51,-0.1428571429,-17,-17
132,-17,-17,-14,-51,-0.3333333333,-17,-17
133,-16,-16,-13,-48,d/0,-16,-16
134,-20,-20,-17,-60,-0.25,-20,-20
135,-17,-17,-14,-51,-0.0588235294,-17,5
136,0,0,3,0,d/0,0,0
137,-19,-19,-16,-57,-0.5,-19,-19
138,-19,-19,-16,-57,d/0,-19,-19
139,-13,-13,-10,-39,-0.0909090909,-13,-13
140,-20,-20,-17,-60,-0.0833333333,-20,-18
141,-9,-9,-6,-27,-0.1111111111,-9,-9
142,-20,-20,-17,-60,-0.3333333333,-20,-20
143,-15,-15,-12,-45,d/0,-15,-15
144,-16,-16,-13,-48,-0.3333333333,-16,-16
145,-8,-8,-5,-24,-0.2,-8,-8
146,-12,-12,-9,-36,-0.2,-12,-12
147,-20,-20,-17,-60,d/0,-20,-20
148,-3,-3,0,-9,-0.3333333333,-3,-3
149,-19,-19,-16,-57,-0.25,-19,-12
150,-20,-20,-17,-60,-0.3333333333,-20,-20
151,-18,-18,-15,-54,-1.0,-18,-14
152,-12,-12,-9,-36,-0.2,-12,-12
153,-14,-14,-11,-42,-0.0769230769,-14,-14
154,-19,-19,-16,-57,-0.0909090909,-19,-19
155,-14,-14,-11,-42,-0.25,-14,-14
156,-18,-18,-15,-54,-0.5,-18,-18
157,-10,-10,-7,-30,d/0,-10,-10
158,-14,-14,-11,-42,-0.1428571429,-14,-14
159,-17,-17,-14,-51,-0.3333333333,-17,-17
160,-15,-15,-12,-45,-0.3333333333,-15,-15
161,-20,-20,-17,-60,-0.1,-20,-20
162,-17,-17,-14,-51,d/0,-17,-17
163,-19,-19,-16,-57,-1.0,-19,-19
164,-20,-20,-17,-60,d/0,-20,-20
165,-20,-20,-17,-60,d/0,-20,-20
166,-2,-2,1,-6,-0.5,-2,-2
167,-17,-17,-14,-51,-0.25,-17,-17
168,-14,-14,-11,-42,-1.0,-14,-14
169,5,5,8,15,0.125,3,6
170,-19,-19,-16,-57,-0.0769230769,-19,-19
171,-18,-18,-15,-54,-0.3333333333,-18,-18
172,-20,-20,-17,-60,d/0,-20,-20
173,-18,-18,-15,-54,-0.5,-18,-18
174,-18,-18,-15,-54,-1.0,-18,-13
175,-14,-14,-11,-42,-0.1,-14,-14
176,-19,-19,-16,-57,-0.1666666667,-19,-19
177,-13,-13,-10,-39,-0.5,-13,-13
178,-19,-19,-16,-57,-1.0,-19,-19
179,-20,-20,-17,-60,d/0,-20,-20
180,-20,-20,-17,-60,d/0,-20,-20
181,-20,-20,-17,-60,-0.5,-20,-20
182,-17,-17,-14,-51,-0.1666666667,-17,-17
183,-20,-20,-17,-60,-1.0,-20,-20
184,-20,-20,-17,-60,-1.0,-20,-20
