,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,39.0,39.0,43.0,156.0,0.0264945652,32.0,32.0
1,34.0,34.0,38.0,136.0,0.0294117647,28.5,35.5
2,15.0,15.0,19.0,60.0,0.07177033490000001,11.0,11.0
3,25.0,25.0,29.0,100.0,0.04,24.5,25.5
4,29.5,29.5,33.5,118.0,0.03696741855,21.0,21.0
5,18.0,18.0,22.0,72.0,0.05625,16.0,16.0
6,34.5,34.5,38.5,138.0,0.02904040405,33.0,36.0
7,25.5,25.5,29.5,102.0,0.0492277992,14.0,37.0
8,26.0,26.0,30.0,104.0,0.03898050975,23.0,29.0
9,21.5,21.5,25.5,86.0,0.047777777800000004,18.0,25.0
10,32.0,32.0,36.0,128.0,0.0312805474,31.0,31.0
11,23.0,23.0,27.0,92.0,0.0434782609,23.0,23.0
12,41.0,41.0,45.0,164.0,0.0243902439,31.5,34.0
13,22.0,22.0,26.0,88.0,0.0454545455,20.5,22.5
14,22.0,22.0,26.0,88.0,0.0454545455,21.5,21.5
15,35.0,35.0,39.0,140.0,0.02866502865,33.0,33.0
16,28.0,28.0,32.0,112.0,0.0357142857,16.0,29.0
17,25.5,25.5,29.5,102.0,0.039230769250000005,25.0,25.0
18,29.5,29.5,33.5,118.0,0.03696741855,21.0,38.0
19,18.0,18.0,22.0,72.0,0.0555555556,18.0,18.0
20,21.0,21.0,25.0,84.0,0.04772727275,20.0,20.0
21,24.0,24.0,28.0,96.0,0.0416666667,23.0,23.0
22,17.0,17.0,21.0,68.0,0.0588235294,13.0,13.0
23,18.0,18.0,22.0,72.0,0.0555555556,14.5,18.5
24,35.0,35.0,39.0,140.0,0.0285714286,34.5,37.5
25,39.0,39.0,43.0,156.0,0.0256410256,34.0,34.0
26,19.0,19.0,23.0,76.0,0.0526315789,17.0,19.5
27,27.5,27.5,31.5,110.0,0.036962365600000005,24.0,31.0
28,21.5,21.5,25.5,86.0,0.055128205099999994,13.0,13.0
29,27.0,27.0,31.0,108.0,0.037037037,27.0,30.5
30,26.0,26.0,30.0,104.0,0.039938556050000004,21.0,21.0
31,26.0,26.0,30.0,104.0,0.038690476200000004,24.0,28.0
32,30.0,30.0,34.0,120.0,0.0333333333,29.5,31.5
33,30.0,30.0,34.0,120.0,0.0333333333,29.5,32.0
34,36.0,36.0,40.0,144.0,0.0277992278,35.0,37.0
35,29.0,29.0,33.0,116.0,0.0344827586,27.0,31.5
36,17.0,17.0,21.0,68.0,0.0588235294,17.0,17.0
37,30.0,30.0,34.0,120.0,0.0333333333,29.0,29.0
38,13.0,13.0,17.0,52.0,0.08496732025,9.0,17.0
39,22.0,22.0,26.0,88.0,0.0454545455,21.5,23.5
40,29.0,29.0,33.0,116.0,0.0344827586,29.0,32.5
41,30.0,30.0,34.0,120.0,0.0333333333,26.0,33.0
42,30.0,30.0,34.0,120.0,0.0333333333,30.0,30.0
43,24.0,24.0,28.0,96.0,0.041958042,22.0,26.0
44,26.0,26.0,30.0,104.0,0.0384615385,19.5,27.0
45,32.0,32.0,36.0,128.0,0.03125,30.5,30.5
46,36.0,36.0,40.0,144.0,0.0277777778,29.5,29.5
47,34.0,34.0,38.0,136.0,0.029437229449999998,33.0,33.0
48,20.0,20.0,24.0,80.0,0.05,17.5,22.0
49,34.0,34.0,38.0,136.0,0.0294117647,31.5,35.0
50,25.0,25.0,29.0,100.0,0.04,24.0,24.0
51,29.0,29.0,33.0,116.0,0.0345238095,28.0,30.0
52,29.5,29.5,33.5,118.0,0.03390804595,29.0,29.0
53,39.0,39.0,43.0,156.0,0.0256410256,38.5,40.5
54,22.0,22.0,26.0,88.0,0.04554865425,21.0,21.0
55,26.0,26.0,30.0,104.0,0.039393939399999994,22.0,30.0
56,26.0,26.0,30.0,104.0,0.0384615385,24.0,29.5
57,31.0,31.0,35.0,124.0,0.03311965815,26.0,26.0
58,33.5,33.5,37.5,134.0,0.03001792115,31.0,31.0
59,21.5,21.5,25.5,86.0,0.046536796549999995,21.0,21.0
60,16.5,16.5,20.5,66.0,0.06111111115,15.0,15.0
61,26.0,26.0,30.0,104.0,0.038690476200000004,24.0,28.0
62,23.0,23.0,27.0,92.0,0.0434782609,22.0,27.0
63,41.0,41.0,45.0,164.0,0.0243902439,40.0,42.5
64,34.5,34.5,38.5,138.0,0.02899159665,34.0,34.0
65,33.0,33.0,37.0,132.0,0.0303030303,32.5,32.5
66,36.0,36.0,40.0,144.0,0.0277777778,36.0,36.0
67,26.0,26.0,30.0,104.0,0.040625,20.0,20.0
68,41.0,41.0,45.0,164.0,0.0243902439,41.0,41.0
69,30.0,30.0,34.0,120.0,0.0333333333,28.5,30.5
70,11.5,11.5,15.5,46.0,0.1277777778,5.0,5.0
71,31.0,31.0,35.0,124.0,0.0328042328,27.0,27.0
72,35.0,35.0,39.0,140.0,0.0285714286,33.0,34.0
73,30.0,30.0,34.0,120.0,0.033370411550000006,29.0,31.0
74,25.5,25.5,29.5,102.0,0.06746031745,9.0,42.0
75,25.5,25.5,29.5,102.0,0.04194078945,19.0,32.0
76,21.0,21.0,25.0,84.0,0.0476190476,20.0,23.5
77,18.5,18.5,22.5,74.0,0.055059523799999996,16.0,21.0
78,25.0,25.0,29.0,100.0,0.04,23.5,23.5
79,29.0,29.0,33.0,116.0,0.0344827586,22.0,22.0
80,18.0,18.0,22.0,72.0,0.0555555556,17.0,28.5
81,32.0,32.0,36.0,128.0,0.03125,18.0,33.0
82,19.0,19.0,23.0,76.0,0.05654761905,14.0,14.0
83,20.0,20.0,24.0,80.0,0.05,19.0,19.0
84,38.0,38.0,42.0,152.0,0.0263340263,37.0,39.0
85,19.5,19.5,23.5,78.0,0.051587301599999996,18.0,21.0
86,16.5,16.5,20.5,66.0,0.060661764699999995,16.0,17.0
87,21.0,21.0,25.0,84.0,0.04772727275,20.0,22.0
88,29.0,29.0,33.0,116.0,0.0344827586,22.0,30.0
89,17.0,17.0,21.0,68.0,0.0588235294,14.0,26.0
90,27.0,27.0,31.0,108.0,0.037037037,24.0,29.0
91,23.5,23.5,27.5,94.0,0.0425724638,23.0,23.0
92,13.0,13.0,17.0,52.0,0.0769230769,10.0,22.0
93,33.0,33.0,37.0,132.0,0.0303030303,21.0,33.5
94,37.5,37.5,41.5,150.0,0.0267857143,35.0,40.0
95,23.5,23.5,27.5,94.0,0.0425724638,23.0,23.0
96,19.0,19.0,23.0,76.0,0.05397727275,16.0,16.0
97,24.0,24.0,28.0,96.0,0.0416666667,22.5,22.5
98,28.0,28.0,32.0,112.0,0.03612903225,25.0,31.0
99,24.0,24.0,28.0,96.0,0.04173913045,23.0,23.0
100,22.0,22.0,26.0,88.0,0.050574712650000006,15.0,15.0
101,20.5,20.5,24.5,82.0,0.049516908250000005,18.0,18.0
102,24.0,24.0,28.0,96.0,0.0416666667,24.0,28.0
103,18.0,18.0,22.0,72.0,0.0555555556,12.0,12.0
104,31.5,31.5,35.5,126.0,0.0349223947,22.0,22.0
105,26.0,26.0,30.0,104.0,0.0385185185,25.0,25.0
106,13.0,13.0,17.0,52.0,0.0769230769,13.0,13.0
107,11.5,11.5,15.5,46.0,0.08846153845,10.0,13.0
108,32.0,32.0,36.0,128.0,0.03174603175,28.0,28.0
109,12.0,12.0,16.0,48.0,0.0833333333,8.0,7.0
110,20.5,20.5,24.5,82.0,0.0542328042,14.0,27.0
111,29.0,29.0,33.0,116.0,0.0344827586,28.0,30.0
112,36.0,36.0,40.0,144.0,0.0277777778,32.0,37.0
113,24.0,24.0,28.0,96.0,0.0416666667,21.0,21.0
114,35.0,35.0,39.0,140.0,0.0285714286,33.0,37.0
115,33.0,33.0,37.0,132.0,0.0303030303,31.5,31.5
116,23.0,23.0,27.0,92.0,0.0434782609,23.0,23.0
117,31.5,31.5,35.5,126.0,0.032407407400000005,27.0,36.0
118,30.5,30.5,34.5,122.0,0.03322440085,27.0,27.0
119,18.0,18.0,22.0,72.0,0.0555555556,13.0,30.0
120,16.5,16.5,20.5,66.0,0.06111111115,15.0,18.0
121,22.0,22.0,26.0,88.0,0.0454545455,21.0,28.0
122,19.0,19.0,23.0,76.0,0.0526315789,18.5,18.5
123,24.5,24.5,28.5,98.0,0.04083333335,24.0,24.0
124,11.0,11.0,15.0,44.0,0.0909090909,7.5,7.0
125,27.0,27.0,31.0,108.0,0.037037037,17.0,30.5
126,20.5,20.5,24.5,82.0,0.05024509805,17.0,24.0
127,15.0,15.0,19.0,60.0,0.0666666667,11.5,19.5
128,27.0,27.0,31.0,108.0,0.0372413793,25.0,29.0
129,19.0,19.0,23.0,76.0,0.0526315789,16.5,25.0
130,7.0,7.0,11.0,28.0,0.1428571429,6.5,11.5
131,26.0,26.0,30.0,104.0,0.0384615385,25.0,25.0
132,20.5,20.5,24.5,82.0,0.0542328042,14.0,27.0
133,12.0,12.0,16.0,48.0,0.0833333333,12.0,16.0
134,26.5,26.5,30.5,106.0,0.03807471265,24.0,29.0
135,15.0,15.0,19.0,60.0,0.0669642857,14.0,14.0
136,12.5,12.5,16.5,50.0,0.08116883115000001,11.0,11.0
137,20.0,20.0,24.0,80.0,0.05,19.5,19.5
138,26.0,26.0,30.0,104.0,0.0385185185,25.0,25.0
139,34.0,34.0,38.0,136.0,0.0294117647,32.0,32.0
140,9.0,9.0,13.0,36.0,0.1111111111,8.0,8.0
141,17.0,17.0,21.0,68.0,0.0596491228,15.0,19.0
142,37.0,37.0,41.0,148.0,0.027027027,27.5,38.5
143,27.5,27.5,31.5,110.0,0.03666666665,25.0,30.0
144,16.0,16.0,20.0,64.0,0.0634920635,14.0,18.0
145,35.5,35.5,39.5,142.0,0.0288617886,30.0,41.0
146,29.0,29.0,33.0,116.0,0.0345238095,28.0,28.0
147,41.0,41.0,45.0,164.0,0.024404761900000002,40.0,40.0
148,34.0,34.0,38.0,136.0,0.030713640450000003,27.0,41.0
149,21.0,21.0,25.0,84.0,0.0476190476,19.5,24.0
150,30.0,30.0,34.0,120.0,0.0333333333,29.0,30.5
151,33.5,33.5,37.5,134.0,0.029910714300000002,32.0,35.0
152,20.0,20.0,24.0,80.0,0.05,17.0,20.0
153,24.0,24.0,28.0,96.0,0.0416666667,24.0,24.0
154,19.0,19.0,23.0,76.0,0.0526315789,19.0,19.0
155,23.0,23.0,27.0,92.0,0.0434782609,21.0,23.5
156,31.5,31.5,35.5,126.0,0.0318181818,30.0,33.0
157,21.0,21.0,25.0,84.0,0.0494117647,17.0,17.0
158,15.5,15.5,19.5,62.0,0.0651260504,14.0,17.0
159,22.0,22.0,26.0,88.0,0.04700854705,18.0,18.0
160,27.0,27.0,31.0,108.0,0.037037037,25.5,25.5
161,32.0,32.0,36.0,128.0,0.03125,26.5,26.5
162,29.0,29.0,33.0,116.0,0.0344827586,23.0,31.0
163,22.0,22.0,26.0,88.0,0.0454545455,20.0,27.0
164,38.0,38.0,42.0,152.0,0.0263157895,37.0,38.0
165,29.0,29.0,33.0,116.0,0.038157894750000004,20.0,38.0
166,20.0,20.0,24.0,80.0,0.05,18.5,24.5
167,20.0,20.0,24.0,80.0,0.05012531325,19.0,19.0
168,27.0,27.0,31.0,108.0,0.037037037,22.0,22.0
169,24.0,24.0,28.0,96.0,0.0416666667,23.5,24.0
170,36.0,36.0,40.0,144.0,0.0277992278,35.0,35.0
171,27.0,27.0,31.0,108.0,0.0378681627,23.0,31.0
172,20.0,20.0,24.0,80.0,0.05,18.5,21.5
173,22.0,22.0,26.0,88.0,0.0454545455,21.0,22.0
174,16.5,16.5,20.5,66.0,0.06203007515,14.0,19.0
175,34.5,34.5,38.5,138.0,0.032608695650000005,23.0,23.0
176,29.0,29.0,33.0,116.0,0.0344827586,25.5,28.5
177,23.5,23.5,27.5,94.0,0.04272727275,22.0,25.0
178,21.0,21.0,25.0,84.0,0.0476190476,16.5,18.0
179,12.0,12.0,16.0,48.0,0.09375,8.0,16.0
180,24.5,24.5,28.5,98.0,0.0480392157,15.0,15.0
181,29.5,29.5,33.5,118.0,0.0339861751,28.0,28.0
182,16.0,16.0,20.0,64.0,0.0625,12.0,12.0
183,29.5,29.5,33.5,118.0,0.03390804595,29.0,30.0
184,28.0,28.0,32.0,112.0,0.035897435899999997,26.0,30.0
185,34.0,34.0,38.0,136.0,0.0294117647,31.5,32.0
186,33.5,33.5,37.5,134.0,0.0298573975,33.0,34.0
187,24.0,24.0,28.0,96.0,0.0416666667,19.0,23.0
188,26.0,26.0,30.0,104.0,0.0384615385,25.0,27.5
189,33.0,33.0,37.0,132.0,0.0303030303,29.5,29.5
190,15.0,15.0,19.0,60.0,0.0666666667,12.5,19.0
191,23.0,23.0,27.0,92.0,0.0434782609,19.5,19.5
192,18.0,18.0,22.0,72.0,0.07407407405000001,9.0,9.0
193,32.0,32.0,36.0,128.0,0.03125,32.0,32.0
194,17.0,17.0,21.0,68.0,0.0588235294,15.5,21.0
195,30.0,30.0,34.0,120.0,0.0333333333,21.5,30.5
196,26.5,26.5,30.5,106.0,0.03774928775,26.0,26.0
197,16.0,16.0,20.0,64.0,0.0625,14.5,14.5
198,32.0,32.0,36.0,128.0,0.0312805474,31.0,33.0
199,20.0,20.0,24.0,80.0,0.05,18.5,20.5
200,18.0,18.0,22.0,72.0,0.0555555556,12.5,12.5
201,15.0,15.0,19.0,60.0,0.0666666667,14.5,14.5
202,19.5,19.5,23.5,78.0,0.05131578945,19.0,20.0
203,23.0,23.0,27.0,92.0,0.0434782609,14.0,14.0
204,43.0,43.0,47.0,172.0,0.023255814,33.0,44.0
205,28.0,28.0,32.0,112.0,0.0357142857,27.5,27.5
206,38.0,38.0,42.0,152.0,0.0263157895,33.5,38.5
207,23.0,23.0,27.0,92.0,0.04483430795,19.0,19.0
208,33.0,33.0,37.0,132.0,0.030330882349999998,32.0,34.0
209,35.0,35.0,39.0,140.0,0.0285714286,34.5,34.5
210,38.0,38.0,42.0,152.0,0.02677942215,33.0,33.0
211,36.5,36.5,40.5,146.0,0.02765151515,33.0,40.0
212,29.5,29.5,33.5,118.0,0.03390804595,29.0,29.0
213,16.0,16.0,20.0,64.0,0.0625,12.0,20.0
214,8.0,8.0,12.0,32.0,0.125,6.0,20.5
215,36.5,36.5,40.5,146.0,0.027402402399999998,36.0,37.0
216,15.0,15.0,19.0,60.0,0.0666666667,11.5,25.0
217,19.0,19.0,23.0,76.0,0.0526315789,15.5,15.5
218,27.0,27.0,31.0,108.0,0.037037037,27.0,27.0
219,25.0,25.0,29.0,100.0,0.04,24.0,24.0
220,22.0,22.0,26.0,88.0,0.0454545455,21.5,32.0
221,21.0,21.0,25.0,84.0,0.0476190476,19.0,27.0
222,28.0,28.0,32.0,112.0,0.0357142857,25.0,30.5
223,25.0,25.0,29.0,100.0,0.04,18.5,27.0
224,28.0,28.0,32.0,112.0,0.0357142857,26.0,28.5
225,33.0,33.0,37.0,132.0,0.030330882349999998,32.0,32.0
226,26.0,26.0,30.0,104.0,0.0384615385,25.0,25.0
227,18.0,18.0,22.0,72.0,0.0555555556,16.5,24.0
228,34.0,34.0,38.0,136.0,0.02964254575,31.0,37.0
229,33.0,33.0,37.0,132.0,0.0303030303,33.0,33.5
230,40.0,40.0,44.0,160.0,0.025,38.0,40.5
231,40.0,40.0,44.0,160.0,0.025,28.5,28.5
232,37.0,37.0,41.0,148.0,0.027027027,37.0,37.0
233,32.0,32.0,36.0,128.0,0.03125,29.5,33.0
234,15.0,15.0,19.0,60.0,0.0669642857,14.0,16.0
235,10.0,10.0,14.0,40.0,0.1,8.5,12.5
236,27.5,27.5,31.5,110.0,0.03647214855,26.0,26.0
237,39.0,39.0,43.0,156.0,0.0256410256,38.5,39.0
238,24.0,24.0,28.0,96.0,0.0416666667,21.5,21.5
239,15.0,15.0,19.0,60.0,0.0669642857,14.0,14.0
240,19.0,19.0,23.0,76.0,0.0527777778,18.0,20.0
241,21.0,21.0,25.0,84.0,0.0476190476,14.5,18.0
242,24.0,24.0,28.0,96.0,0.041958042,22.0,22.0
243,36.0,36.0,40.0,144.0,0.0277777778,35.0,38.0
244,27.0,27.0,31.0,108.0,0.037037037,27.0,27.0
245,28.0,28.0,32.0,112.0,0.035897435899999997,26.0,26.0
246,21.5,21.5,25.5,86.0,0.04864253395,17.0,17.0
247,20.0,20.0,24.0,80.0,0.05,19.5,19.5
248,16.0,16.0,20.0,64.0,0.06666666665000001,12.0,12.0
249,24.0,24.0,28.0,96.0,0.04173913045,23.0,25.0
250,11.0,11.0,15.0,44.0,0.09166666665,10.0,10.0
251,21.0,21.0,25.0,84.0,0.0476190476,21.0,21.0
252,21.0,21.0,25.0,84.0,0.05357142855,14.0,14.0
253,42.0,42.0,46.0,168.0,0.0238095238,32.5,43.0
254,32.0,32.0,36.0,128.0,0.03125,31.5,31.5
255,30.0,30.0,34.0,120.0,0.0339366516,26.0,34.0
256,13.0,13.0,17.0,52.0,0.0769230769,13.0,13.0
257,20.5,20.5,24.5,82.0,0.051250000000000004,16.0,25.0
258,25.0,25.0,29.0,100.0,0.04,22.0,22.0
259,24.0,24.0,28.0,96.0,0.0423280423,21.0,21.0
260,34.0,34.0,38.0,136.0,0.0294117647,25.5,25.5
261,31.0,31.0,35.0,124.0,0.03311965815,26.0,26.0
262,38.0,38.0,42.0,152.0,0.0263157895,29.5,43.0
